model,graph,M_before,M_after,role,K,N,n,weight_MB_each,weight_MB_total,dtype,biased,kind_before,kind_after,kind_mix_before,kind_mix_after,w_before,w_after,kpc_after,pcn_after,in0_cores_after,w_space_before,w_space_after,w_memlayout_before,w_memlayout_after,best_w_le8,moved_to_ds,w_collapsed
vllm_ministral_8b,g1,4096,4096,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,128,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_ministral_8b,g1,4096,4096,qkv,4096,12288,36,53.477376,1925.185536,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,384,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_ministral_8b,g1,4096,4096,o_proj,6144,4096,36,26.738688,962.592768,bfp_bf8,0,default,default,defaultx36,defaultx36,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_ministral_8b,g1,4096,4096,down,24576,4096,36,106.954752,3850.371072,bfp_bf8,0,default,default,defaultx36,defaultx36,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_mistral_7b_instruct,g1,4096,4096,o_proj,4096,4096,32,17.825792,570.425344,bfp_bf8,0,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,128,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_mistral_7b_instruct,g1,4096,4096,qkv,4096,14336,32,62.390272,1996.488704,bfp_bf8,0,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,448,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_mistral_7b_instruct,g1,4096,4096,o_proj,6144,4096,32,26.738688,855.638016,bfp_bf8,0,default,default,defaultx32,defaultx32,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_mistral_7b_instruct,g1,4096,4096,down,28672,4096,32,124.780544,3992.977408,bfp_bf8,0,default,default,defaultx32,defaultx32,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_phi_1,g1,4096,4096,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1,g1,4096,4096,qkv,2048,8192,24,17.825792,427.819008,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,256,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1,g1,4096,4096,o_proj,6144,2048,24,13.369344,320.864256,bfp_bf8,1,default,default,defaultx24,defaultx24,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1,g1,4096,4096,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,default,default,defaultx24,defaultx24,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1_5,g1,4096,4096,o_proj,2048,2048,24,4.456448,106.954752,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1_5,g1,4096,4096,qkv,2048,8192,24,17.825792,427.819008,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,256,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1_5,g1,4096,4096,o_proj,6144,2048,24,13.369344,320.864256,bfp_bf8,1,default,default,defaultx24,defaultx24,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_1_5,g1,4096,4096,down,8192,2048,24,17.825792,427.819008,bfp_bf8,1,default,default,defaultx24,defaultx24,,,64,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_2,g1,4096,4096,o_proj,2560,2560,32,6.9632,222.8224,bfp_bf8,1,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,160,10,8,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_2,g1,4096,4096,qkv,2560,10240,32,27.8528,891.2896,bfp_bf8,1,mcast2d,mcast2d,mcast2dx32,mcast2dx32,2,2,320,10,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_2,g1,4096,4096,o_proj,7680,2560,32,20.8896,668.4672,bfp_bf8,1,default,default,defaultx32,defaultx32,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_phi_2,g1,4096,4096,down,10240,2560,32,27.8528,891.2896,bfp_bf8,1,default,default,defaultx32,defaultx32,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_0_5b_instruct,g1,4096,4096,o_proj,896,896,24,0.852992,20.471808,bfp_bf8,0,mcast1d,mcast1d,mcast1dx24,mcast1dx24,28,28,28,28,1,dram,dram,interleaved,interleaved,7,0,0
vllm_qwen2_5_0_5b_instruct,g1,4096,4096,qkv,896,4864,24,4.630528,111.132672,bfp_bf8,0,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,22,4,7,dram,dram,interleaved,interleaved,2,0,0
vllm_qwen2_5_0_5b_instruct,g1,4096,4096,o_proj,1152,896,24,1.096704,26.320896,bfp_bf8,1,mcast2d,mcast2d,mcast2dx24,mcast2dx24,2,2,4,5,7,dram,dram,interleaved,interleaved,4,0,0
vllm_qwen2_5_0_5b_instruct,g1,4096,4096,down,9728,896,24,9.261056,222.265344,bfp_bf8,0,default,default,defaultx24,defaultx24,,,4,,7,dram,dram,interleaved,interleaved,4,0,0
vllm_qwen2_5_1_5b_instruct,g1,4096,4096,o_proj,1536,1536,28,2.506752,70.189056,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,96,6,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_1_5b_instruct,g1,4096,4096,qkv,1536,8960,28,14.62272,409.43616,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,280,6,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_1_5b_instruct,g1,4096,4096,o_proj,2048,1536,28,3.342336,93.585408,bfp_bf8,1,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,6,8,8,dram,dram,interleaved,interleaved,6,0,0
vllm_qwen2_5_1_5b_instruct,g1,4096,4096,down,17920,1536,28,29.24544,818.87232,bfp_bf8,0,default,default,defaultx28,defaultx28,,,48,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_3b_instruct,g1,4096,4096,o_proj,2048,2048,36,4.456448,160.432128,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_3b_instruct,g1,4096,4096,qkv,2048,11008,36,23.953408,862.322688,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,344,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_3b_instruct,g1,4096,4096,o_proj,2560,2048,36,5.57056,200.54016,bfp_bf8,1,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,8,10,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_3b_instruct,g1,4096,4096,down,22016,2048,36,47.906816,1724.645376,bfp_bf8,0,default,default,defaultx36,defaultx36,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
vllm_qwen2_5_7b_instruct,g1,4096,4096,o_proj,3584,3584,28,13.647872,382.140416,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,224,14,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_7b_instruct,g1,4096,4096,qkv,3584,18944,28,72.138752,2019.885056,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,592,14,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_7b_instruct,g1,4096,4096,o_proj,4608,3584,28,17.547264,491.323392,bfp_bf8,1,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,112,18,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen2_5_7b_instruct,g1,4096,4096,down,37888,3584,28,144.277504,4039.770112,bfp_bf8,0,default,default,defaultx28,defaultx28,,,112,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_0_6b,g1,4096,4096,qkv,1024,2048,28,2.228224,62.390272,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,128,4,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_0_6b,g1,4096,4096,qkv,1024,3072,28,3.342336,93.585408,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,12,4,8,dram,dram,interleaved,interleaved,6,0,0
vllm_qwen3_0_6b,g1,4096,4096,o_proj,4096,1024,28,4.456448,124.780544,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,4,16,8,dram,dram,interleaved,interleaved,4,0,0
vllm_qwen3_0_6b,g1,4096,4096,down,6144,1024,28,6.684672,187.170816,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,4,24,8,dram,dram,interleaved,interleaved,4,0,0
vllm_qwen3_1_7b,g1,4096,4096,o_proj,2048,2048,28,4.456448,124.780544,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,128,8,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_1_7b,g1,4096,4096,qkv,2048,6144,28,13.369344,374.341632,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,192,8,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_1_7b,g1,4096,4096,o_proj,4096,2048,28,8.912896,249.561088,bfp_bf8,0,mcast2d,mcast2d,mcast2dx28,mcast2dx28,2,2,64,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_1_7b,g1,4096,4096,down,12288,2048,28,26.738688,748.683264,bfp_bf8,0,default,default,defaultx28,defaultx28,,,1,,64,dram,dram,interleaved,interleaved,1,0,0
vllm_qwen3_4b,g1,4096,4096,qkv,2560,4096,36,11.14112,401.08032,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,256,10,8,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_4b,g1,4096,4096,qkv,2560,9728,36,26.46016,952.56576,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,304,10,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_4b,g1,4096,4096,o_proj,6144,2560,36,16.71168,601.62048,bfp_bf8,0,default,default,defaultx36,defaultx36,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_4b,g1,4096,4096,down,19456,2560,36,52.92032,1905.13152,bfp_bf8,0,default,default,defaultx36,defaultx36,,,80,,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_8b,g1,4096,4096,o_proj,4096,4096,36,17.825792,641.728512,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,128,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_8b,g1,4096,4096,qkv,4096,12288,36,53.477376,1925.185536,bfp_bf8,0,mcast2d,mcast2d,mcast2dx36,mcast2dx36,2,2,384,16,1,dram,dram,interleaved,interleaved,8,0,0
vllm_qwen3_8b,g1,4096,4096,o_proj,6144,4096,36,26.738688,962.592768,bfp_bf8,0,default,default,defaultx36,defaultx36,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
vllm_qwen3_8b,g1,4096,4096,down,24576,4096,36,106.954752,3850.371072,bfp_bf8,0,default,default,defaultx36,defaultx36,,,2,,64,dram,dram,interleaved,interleaved,2,0,0
